+0.00 1.500000 0 0.500000 0.500000
+0.00 2.450000 1 1.500000 0.500000
+0.00 2.450000 1 1.500000 1.500000
+0.00 2.600000 1 0.500000 0.500000
+0.00 3.400000 2 2.500000 1.500000
+0.00 3.400000 2 2.500000 0.500000
+0.00 3.400000 2 2.500000 2.500000
+0.00 3.500000 2 0.500000 0.500000
+0.00 3.650000 2 1.500000 0.500000
+0.00 3.650000 2 1.500000 1.500000
+0.00 4.140000 3 3.500000 2.500000
+0.00 4.140000 3 3.500000 0.500000
+0.00 4.140000 3 3.500000 1.500000
+0.00 4.140000 3 3.500000 3.500000
+0.00 4.415000 3 1.500000 1.500000
+0.00 4.415000 3 1.500000 0.500000
+0.00 4.490000 3 2.500000 1.500000
+0.00 4.490000 3 2.500000 2.500000
+0.00 4.490000 3 2.500000 0.500000
+0.00 4.565000 3 0.500000 0.500000
+0.00 4.850000 4 4.500000 1.500000
+0.00 4.850000 4 4.500000 2.500000
+0.00 4.850000 4 4.500000 3.500000
+0.00 4.850000 4 4.500000 0.500000
+0.00 4.850000 4 4.500000 4.500000
+0.00 5.265000 4 2.500000 0.500000
+0.00 5.265000 4 2.500000 1.500000
+0.00 5.265000 4 2.500000 2.500000
+0.00 5.300000 4 3.500000 0.500000
+0.00 5.300000 4 3.500000 2.500000
+0.00 5.300000 4 3.500000 1.500000
+0.00 5.300000 4 3.500000 3.500000
+0.00 5.500000 4 0.500000 0.500000
+0.00 5.515000 4 1.500000 0.500000
+0.00 5.515000 4 1.500000 1.500000
+0.00 5.575000 5 5.500000 1.500000
+0.00 5.575000 5 5.500000 2.500000
+0.00 5.575000 5 5.500000 4.500000
+0.00 5.575000 5 5.500000 0.500000
+0.00 5.575000 5 5.500000 3.500000
+0.00 5.575000 5 5.500000 5.500000
+0.00 6.080000 5 3.500000 1.500000
+0.00 6.080000 5 3.500000 0.500000
+0.00 6.080000 5 3.500000 3.500000
+0.00 6.080000 5 3.500000 2.500000
+0.00 6.125000 5 4.500000 3.500000
+0.00 6.125000 5 4.500000 2.500000
+0.00 6.125000 5 4.500000 0.500000
+0.00 6.125000 5 4.500000 1.500000
+0.00 6.125000 5 4.500000 4.500000
+0.00 6.255000 6 6.500000 1.500000
+0.00 6.255000 6 6.500000 3.500000
+0.00 6.255000 6 6.500000 5.500000
+0.00 6.255000 6 6.500000 0.500000
+0.00 6.255000 6 6.500000 4.500000
+0.00 6.255000 6 6.500000 6.500000
+0.00 6.255000 6 6.500000 2.500000
+0.00 6.405000 5 1.500000 1.500000
+0.00 6.405000 5 1.500000 0.500000
+0.00 6.430000 5 2.500000 2.500000
+0.00 6.430000 5 2.500000 0.500000
+0.00 6.430000 5 2.500000 1.500000
+0.00 6.555000 5 0.500000 0.500000
+0.00 6.850000 6 4.500000 1.500000
+0.00 6.850000 6 4.500000 3.500000
+0.00 6.850000 6 4.500000 2.500000
+0.00 6.850000 6 4.500000 0.500000
+0.00 6.850000 6 4.500000 4.500000
+0.00 6.905000 6 5.500000 3.500000
+0.00 6.905000 6 5.500000 1.500000
+0.00 6.905000 6 5.500000 5.500000
+0.00 6.905000 6 5.500000 2.500000
+0.00 6.905000 6 5.500000 4.500000
+0.00 6.905000 6 5.500000 0.500000
+0.00 7.030000 7 7.500000 0.500000
+0.00 7.030000 7 7.500000 1.500000
+0.00 7.030000 7 7.500000 2.500000
+0.00 7.030000 7 7.500000 3.500000
+0.00 7.030000 7 7.500000 4.500000
+0.00 7.030000 7 7.500000 5.500000
+0.00 7.030000 7 7.500000 6.500000
+0.00 7.030000 7 7.500000 7.500000
+0.00 7.265000 6 2.500000 1.500000
+0.00 7.265000 6 2.500000 2.500000
+0.00 7.265000 6 2.500000 0.500000
+0.00 7.300000 6 3.500000 1.500000
+0.00 7.300000 6 3.500000 3.500000
+0.00 7.300000 6 3.500000 2.500000
+0.00 7.300000 6 3.500000 0.500000
+0.00 7.500000 6 0.500000 0.500000
+0.00 7.515000 6 1.500000 0.500000
+0.00 7.515000 6 1.500000 1.500000
+0.00 7.650000 7 5.500000 1.500000
+0.00 7.650000 7 5.500000 3.500000
+0.00 7.650000 7 5.500000 5.500000
+0.00 7.650000 7 5.500000 2.500000
+0.00 7.650000 7 5.500000 0.500000
+0.00 7.650000 7 5.500000 4.500000
+0.00 7.780000 7 6.500000 1.500000
+0.00 7.780000 7 6.500000 3.500000
+0.00 7.780000 7 6.500000 5.500000
+0.00 7.780000 7 6.500000 2.500000
+0.00 7.780000 7 6.500000 4.500000
+0.00 7.780000 7 6.500000 0.500000
+0.00 7.780000 7 6.500000 6.500000
+0.00 8.110000 7 3.500000 3.500000
+0.00 8.110000 7 3.500000 1.500000
+0.00 8.110000 7 3.500000 0.500000
+0.00 8.110000 7 3.500000 2.500000
+0.00 8.200000 7 4.500000 2.500000
+0.00 8.200000 7 4.500000 4.500000
+0.00 8.200000 7 4.500000 0.500000
+0.00 8.200000 7 4.500000 1.500000
+0.00 8.200000 7 4.500000 3.500000
+0.00 8.410000 7 1.500000 1.500000
+0.00 8.410000 7 1.500000 0.500000
+0.00 8.460000 7 2.500000 2.500000
+0.00 8.460000 7 2.500000 1.500000
+0.00 8.460000 7 2.500000 0.500000
+0.00 8.560000 7 0.500000 0.500000
+0.01 1.499994 0 0.500000 0.500000
+0.01 2.446510 1 1.500000 0.500000
+0.01 2.453328 1 1.500000 1.500000
+0.01 2.600133 1 0.500000 0.500000
+0.01 3.394643 2 2.500000 0.500000
+0.01 3.398597 2 2.500000 1.500000
+0.01 3.406658 2 2.500000 2.500000
+0.01 3.499975 2 0.500000 0.500000
+0.01 3.645327 2 1.500000 0.500000
+0.01 3.654715 2 1.500000 1.500000
+0.01 4.132846 3 3.500000 0.500000
+0.01 4.135689 3 3.500000 1.500000
+0.01 4.141394 3 3.500000 2.500000
+0.01 4.149993 3 3.500000 3.500000
+0.01 4.408505 3 1.500000 0.500000
+0.01 4.420980 3 1.500000 1.500000
+0.01 4.483130 3 2.500000 0.500000
+0.01 4.488298 3 2.500000 1.500000
+0.01 4.498592 3 2.500000 2.500000
+0.01 4.565431 3 0.500000 0.500000
+0.01 4.841108 4 4.500000 0.500000
+0.01 4.843325 4 4.500000 1.500000
+0.01 4.847763 4 4.500000 2.500000
+0.01 4.854428 4 4.500000 3.500000
+0.01 4.863329 4 4.500000 4.500000
+0.01 5.256562 4 2.500000 0.500000
+0.01 5.262730 4 2.500000 1.500000
