# delta state basis N l Lambda Sigma2 coeff
  -0.040     1     1     0     0     0     1     0.99997814
  -0.040     1     2     1     1     0     1    -0.00000000
  -0.040     1     3     1     1     1    -1     0.00000000
  -0.040     1     4     1     1     1     1     0.00000000
  -0.040     1     5     2     2     0     1    -0.00660052
  -0.040     1     6     2     2     1    -1    -0.00039167
  -0.040     1     7     2     0     0     1    -0.00000033
  -0.040     1     8     2     2     1     1     0.00000000
  -0.040     1     9     2     2     2    -1     0.00000000
  -0.040     1    10     2     2     2     1    -0.00000000
  -0.040     1    11     3     3     0     1     0.00000000
  -0.040     1    12     3     3     1    -1     0.00000000
  -0.040     1    13     3     1     0     1    -0.00000000
  -0.040     1    14     3     1     1    -1    -0.00000000
  -0.040     1    15     3     3     1     1     0.00000000
  -0.040     1    16     3     3     2    -1    -0.00000000
  -0.040     1    17     3     1     1     1    -0.00000000
  -0.040     1    18     3     3     2     1     0.00000000
  -0.040     1    19     3     3     3    -1     0.00000000
  -0.040     1    20     3     3     3     1     0.00000000
  -0.040     1    21     4     4     0     1     0.00002840
  -0.040     1    22     4     4     1    -1     0.00000326
  -0.040     1    23     4     2     0     1     0.00002412
  -0.040     1    24     4     2     1    -1     0.00000146
  -0.040     1    25     4     0     0     1     0.00002782
  -0.040     1    26     4     4     1     1    -0.00000000
  -0.040     1    27     4     4     2    -1    -0.00000000
  -0.040     1    28     4     2     1     1    -0.00000000
  -0.040     1    29     4     2     2    -1     0.00000000
  -0.040     1    30     4     4     2     1     0.00000000
  -0.040     1    31     4     4     3    -1    -0.00000000
  -0.040     1    32     4     2     2     1    -0.00000000
  -0.040     1    33     4     4     3     1    -0.00000000
  -0.040     1    34     4     4     4    -1    -0.00000000
  -0.040     1    35     4     4     4     1     0.00000000
  -0.040     1    36     5     5     0     1    -0.00000000
  -0.040     1    37     5     5     1    -1     0.00000000
  -0.040     1    38     5     3     0     1    -0.00000000
  -0.040     1    39     5     3     1    -1    -0.00000000
  -0.040     1    40     5     1     0     1     0.00000000
  -0.040     1    41     5     1     1    -1    -0.00000000
  -0.040     1    42     5     5     1     1     0.00000000
  -0.040     1    43     5     5     2    -1     0.00000000
  -0.040     1    44     5     3     1     1     0.00000000
  -0.040     1    45     5     3     2    -1     0.00000000
  -0.040     1    46     5     1     1     1     0.00000000
  -0.040     1    47     5     5     2     1    -0.00000000
  -0.040     1    48     5     5     3    -1    -0.00000000
  -0.040     1    49     5     3     2     1    -0.00000000
  -0.040     1    50     5     3     3    -1    -0.00000000
  -0.040     1    51     5     5     3     1     0.00000000
  -0.040     1    52     5     5     4    -1    -0.00000000
  -0.040     1    53     5     3     3     1    -0.00000000
  -0.040     1    54     5     5     4     1     0.00000000
  -0.040     1    55     5     5     5    -1    -0.00000000
  -0.040     1    56     5     5     5     1     0.00000000
  -0.040     1    57     6     6     0     1    -0.00000010
  -0.040     1    58     6     6     1    -1    -0.00000002
  -0.040     1    59     6     4     0     1    -0.00000021
  -0.040     1    60     6     4     1    -1    -0.00000002
  -0.040     1    61     6     2     0     1    -0.00000035
  -0.040     1    62     6     2     1    -1    -0.00000002
  -0.040     1    63     6     0     0     1    -0.00000012
  -0.040     1    64     6     6     1     1    -0.00000000
  -0.040     1    65     6     6     2    -1     0.00000000
  -0.040     1    66     6     4     1     1    -0.00000000
  -0.040     1    67     6     4     2    -1     0.00000000
  -0.040     1    68     6     2     1     1    -0.00000000
  -0.040     1    69     6     2     2    -1     0.00000000
  -0.040     1    70     6     6     2     1    -0.00000000
  -0.040     1    71     6     6     3    -1    -0.00000000
  -0.040     1    72     6     4     2     1    -0.00000000
  -0.040     1    73     6     4     3    -1     0.00000000
  -0.040     1    74     6     2     2     1    -0.00000000
  -0.040     1    75     6     6     3     1    -0.00000000
  -0.040     1    76     6     6     4    -1    -0.00000000
  -0.040     1    77     6     4     3     1     0.00000000
  -0.040     1    78     6     4     4    -1    -0.00000000
  -0.040     1    79     6     6     4     1    -0.00000000
  -0.040     1    80     6     6     5    -1     0.00000000
  -0.040     1    81     6     4     4     1     0.00000000
  -0.040     1    82     6     6     5     1    -0.00000000
  -0.040     1    83     6     6     6    -1    -0.00000000
  -0.040     1    84     6     6     6     1    -0.00000000
  -0.040     1    85     7     7     0     1    -0.00000000
  -0.040     1    86     7     7     1    -1    -0.00000000
  -0.040     1    87     7     5     0     1    -0.00000000
  -0.040     1    88     7     5     1    -1     0.00000000
  -0.040     1    89     7     3     0     1     0.00000000
  -0.040     1    90     7     3     1    -1    -0.00000000
  -0.040     1    91     7     1     0     1    -0.00000000
  -0.040     1    92     7     1     1    -1     0.00000000
  -0.040     1    93     7     7     1     1     0.00000000
  -0.040     1    94     7     7     2    -1     0.00000000
  -0.040     1    95     7     5     1     1    -0.00000000
  -0.040     1    96     7     5     2    -1    -0.00000000
  -0.040     1    97     7     3     1     1    -0.00000000
  -0.040     1    98     7     3     2    -1     0.00000000
  -0.040     1    99     7     1     1     1    -0.00000000
  -0.040     1   100     7     7     2     1    -0.00000000
  -0.040     1   101     7     7     3    -1     0.00000000
  -0.040     1   102     7     5     2     1     0.00000000
  -0.040     1   103     7     5     3    -1    -0.00000000
  -0.040     1   104     7     3     2     1    -0.00000000
  -0.040     1   105     7     3     3    -1    -0.00000000
  -0.040     1   106     7     7     3     1    -0.00000000
  -0.040     1   107     7     7     4    -1    -0.00000000
  -0.040     1   108     7     5     3     1    -0.00000000
  -0.040     1   109     7     5     4    -1     0.00000000
  -0.040     1   110     7     3     3     1    -0.00000000
  -0.040     1   111     7     7     4     1    -0.00000000
  -0.040     1   112     7     7     5    -1    -0.00000000
  -0.040     1   113     7     5     4     1     0.00000000
  -0.040     1   114     7     5     5    -1    -0.00000000
  -0.040     1   115     7     7     5     1     0.00000000
  -0.040     1   116     7     7     6    -1     0.00000000
  -0.040     1   117     7     5     5     1     0.00000000
  -0.040     1   118     7     7     6     1     0.00000000
  -0.040     1   119     7     7     7    -1     0.00000000
  -0.040     1   120     7     7     7     1     0.00000000
  -0.040     2     1     0     0     0     1     0.00000000
  -0.040     2     2     1     1     0     1     0.00000000
  -0.040     2     3     1     1     1    -1     0.00000000
  -0.040     2     4     1     1     1     1     0.99997115
  -0.040     2     5     2     2     0     1    -0.00000000
  -0.040     2     6     2     2     1    -1    -0.00000000
  -0.040     2     7     2     0     0     1    -0.00000000
  -0.040     2     8     2     2     1     1    -0.00000000
  -0.040     2     9     2     2     2    -1     0.00000000
  -0.040     2    10     2     2     2     1    -0.00000000
  -0.040     2    11     3     3     0     1    -0.00000000
  -0.040     2    12     3     3     1    -1    -0.00000000
  -0.040     2    13     3     1     0     1     0.00000000
  -0.040     2    14     3     1     1    -1     0.00000000
  -0.040     2    15     3     3     1     1    -0.00623253
  -0.040     2    16     3     3     2    -1    -0.00050432
  -0.040     2    17     3     1     1     1     0.00431332
  -0.040     2    18     3     3     2     1     0.00000000
  -0.040     2    19     3     3     3    -1     0.00000000
  -0.040     2    20     3     3     3     1    -0.00000000
  -0.040     2    21     4     4     0     1     0.00000000
  -0.040     2    22     4     4     1    -1     0.00000000
  -0.040     2    23     4     2     0     1     0.00000000
  -0.040     2    24     4     2     1    -1     0.00000000
  -0.040     2    25     4     0     0     1     0.00000000
  -0.040     2    26     4     4     1     1     0.00000000
  -0.040     2    27     4     4     2    -1    -0.00000000
  -0.040     2    28     4     2     1     1     0.00000000
  -0.040     2    29     4     2     2    -1     0.00000000
  -0.040     2    30     4     4     2     1     0.00000000
  -0.040     2    31     4     4     3    -1     0.00000000
  -0.040     2    32     4     2     2     1    -0.00000000
  -0.040     2    33     4     4     3     1    -0.00000000
  -0.040     2    34     4     4     4    -1     0.00000000
  -0.040     2    35     4     4     4     1    -0.00000000
  -0.040     2    36     5     5     0     1     0.00000000
  -0.040     2    37     5     5     1    -1     0.00000000
  -0.040     2    38     5     3     0     1    -0.00000000
  -0.040     2    39     5     3     1    -1    -0.00000000
  -0.040     2    40     5     1     0     1    -0.00000000
  -0.040     2    41     5     1     1    -1     0.00000000
  -0.040     2    42     5     5     1     1     0.00002971
  -0.040     2    43     5     5     2    -1     0.00000415
  -0.040     2    44     5     3     1     1    -0.00000671
  -0.040     2    45     5     3     2    -1    -0.00000027
  -0.040     2    46     5     1     1     1     0.00003463
  -0.040     2    47     5     5     2     1    -0.00000000
  -0.040     2    48     5     5     3    -1    -0.00000000
  -0.040     2    49     5     3     2     1    -0.00000000
  -0.040     2    50     5     3     3    -1     0.00000000
  -0.040     2    51     5     5     3     1    -0.00000000
  -0.040     2    52     5     5     4    -1    -0.00000000
  -0.040     2    53     5     3     3     1    -0.00000000
  -0.040     2    54     5     5     4     1    -0.00000000
  -0.040     2    55     5     5     5    -1     0.00000000
  -0.040     2    56     5     5     5     1     0.00000000
  -0.040     2    57     6     6     0     1    -0.00000000
  -0.040     2    58     6     6     1    -1    -0.00000000
  -0.040     2    59     6     4     0     1    -0.00000000
  -0.040     2    60     6     4     1    -1     0.00000000
  -0.040     2    61     6     2     0     1     0.00000000
  -0.040     2    62     6     2     1    -1    -0.00000000
  -0.040     2    63     6     0     0     1    -0.00000000
  -0.040     2    64     6     6     1     1     0.00000000
  -0.040     2    65     6     6     2    -1     0.00000000
  -0.040     2    66     6     4     1     1     0.00000000
  -0.040     2    67     6     4     2    -1    -0.00000000
  -0.040     2    68     6     2     1     1    -0.00000000
  -0.040     2    69     6     2     2    -1     0.00000000
  -0.040     2    70     6     6     2     1    -0.00000000
  -0.040     2    71     6     6     3    -1    -0.00000000
  -0.040     2    72     6     4     2     1    -0.00000000
  -0.040     2    73     6     4     3    -1     0.00000000
  -0.040     2    74     6     2     2     1    -0.00000000
  -0.040     2    75     6     6     3     1    -0.00000000
  -0.040     2    76     6     6     4    -1    -0.00000000
  -0.040     2    77     6     4     3     1    -0.00000000
  -0.040     2    78     6     4     4    -1     0.00000000
  -0.040     2    79     6     6     4     1     0.00000000
  -0.040     2    80     6     6     5    -1     0.00000000
  -0.040     2    81     6     4     4     1    -0.00000000
  -0.040     2    82     6     6     5     1     0.00000000
  -0.040     2    83     6     6     6    -1    -0.00000000
  -0.040     2    84     6     6     6     1    -0.00000000
  -0.040     2    85     7     7     0     1    -0.00000000
  -0.040     2    86     7     7     1    -1    -0.00000000
  -0.040     2    87     7     5     0     1     0.00000000
  -0.040     2    88     7     5     1    -1     0.00000000
  -0.040     2    89     7     3     0     1     0.00000000
  -0.040     2    90     7     3     1    -1    -0.00000000
  -0.040     2    91     7     1     0     1    -0.00000000
  -0.040     2    92     7     1     1    -1     0.00000000
  -0.040     2    93     7     7     1     1    -0.00000012
  -0.040     2    94     7     7     2    -1    -0.00000002
  -0.040     2    95     7     5     1     1    -0.00000005
  -0.040     2    96     7     5     2    -1    -0.00000001
  -0.040     2    97     7     3     1     1    -0.00000024
  -0.040     2    98     7     3     2    -1    -0.00000001
  -0.040     2    99     7     1     1     1     0.00000014
  -0.040     2   100     7     7     2     1    -0.00000000
  -0.040     2   101     7     7     3    -1    -0.00000000
  -0.040     2   102     7     5     2     1    -0.00000000
  -0.040     2   103     7     5     3    -1     0.00000000
  -0.040     2   104     7     3     2     1     0.00000000
  -0.040     2   105     7     3     3    -1    -0.00000000
  -0.040     2   106     7     7     3     1     0.00000000
  -0.040     2   107     7     7     4    -1    -0.00000000
  -0.040     2   108     7     5     3     1     0.00000000
  -0.040     2   109     7     5     4    -1     0.00000000
  -0.040     2   110     7     3     3     1     0.00000000
  -0.040     2   111     7     7     4     1     0.00000000
  -0.040     2   112     7     7     5    -1     0.00000000
  -0.040     2   113     7     5     4     1    -0.00000000
  -0.040     2   114     7     5     5    -1     0.00000000
  -0.040     2   115     7     7     5     1     0.00000000
  -0.040     2   116     7     7     6    -1     0.00000000
  -0.040     2   117     7     5     5     1     0.00000000
  -0.040     2   118     7     7     6     1     0.00000000
  -0.040     2   119     7     7     7    -1     0.00000000
  -0.040     2   120     7     7     7     1     0.00000000
  -0.040     3     1     0     0     0     1    -0.00000000
  -0.040     3     2     1     1     0     1     0.73191754
  -0.040     3     3     1     1     1    -1     0.68132168
  -0.040     3     4     1     1     1     1     0.00000000
  -0.040     3     5     2     2     0     1     0.00000000
  -0.040     3     6     2     2     1    -1     0.00000000
  -0.040     3     7     2     0     0     1     0.00000000
  -0.040     3     8     2     2     1     1     0.00000000
  -0.040     3     9     2     2     2    -1    -0.00000000
  -0.040     3    10     2     2     2     1    -0.00000000
  -0.040     3    11     3     3     0     1    -0.00587399
  -0.040     3    12     3     3     1    -1    -0.00458293
  -0.040     3    13     3     1     0     1    -0.00592384
  -0.040     3    14     3     1     1    -1     0.00262264
  -0.040     3    15     3     3     1     1     0.00000000
  -0.040     3    16     3     3     2    -1     0.00000000
  -0.040     3    17     3     1     1     1     0.00000000
  -0.040     3    18     3     3     2     1     0.00000000
