-0.30000  1.4955860000 1
-0.29000  1.4958540000 1
-0.28000  1.4961160000 1
-0.27000  1.4963700000 1
-0.26000  1.4966180000 1
-0.25000  1.4968570000 1
-0.24000  1.4970900000 1
-0.23000  1.4973140000 1
-0.22000  1.4975310000 1
-0.21000  1.4977400000 1
-0.20000  1.4979410000 1
-0.19000  1.4981330000 1
-0.18000  1.4983170000 1
-0.17000  1.4984920000 1
-0.16000  1.4986580000 1
-0.15000  1.4988160000 1
-0.14000  1.4989640000 1
-0.13000  1.4991030000 1
-0.12000  1.4992320000 1
-0.11000  1.4993520000 1
-0.10000  1.4994630000 1
-0.09000  1.4995630000 1
-0.08000  1.4996530000 1
-0.07000  1.4997340000 1
-0.06000  1.4998040000 1
-0.05000  1.4998630000 1
-0.04000  1.4999120000 1
-0.03000  1.4999500000 1
-0.02000  1.4999780000 1
-0.01000  1.4999940000 1
 0.00000  1.5000000000 1
 0.01000  1.4999940000 1
 0.02000  1.4999780000 1
 0.03000  1.4999490000 1
 0.04000  1.4999100000 1
 0.05000  1.4998580000 1
 0.06000  1.4997950000 1
 0.07000  1.4997210000 1
 0.08000  1.4996340000 1
 0.09000  1.4995360000 1
 0.10000  1.4994260000 1
 0.11000  1.4993030000 1
 0.12000  1.4991690000 1
 0.13000  1.4990220000 1
 0.14000  1.4988640000 1
 0.15000  1.4986930000 1
 0.16000  1.4985100000 1
 0.17000  1.4983140000 1
 0.18000  1.4981070000 1
 0.19000  1.4978870000 1
 0.20000  1.4976550000 1
 0.21000  1.4974110000 1
 0.22000  1.4971550000 1
 0.23000  1.4968870000 1
 0.24000  1.4966070000 1
 0.25000  1.4963160000 1
 0.26000  1.4960120000 1
 0.27000  1.4956970000 1
 0.28000  1.4953710000 1
 0.29000  1.4950330000 1
 0.30000  1.4946850000 1

-0.30000  2.3472970000 2
-0.29000  2.3507330000 2
-0.28000  2.3541740000 2
-0.27000  2.3576180000 2
-0.26000  2.3610650000 2
-0.25000  2.3645150000 2
-0.24000  2.3679660000 2
-0.23000  2.3714190000 2
-0.22000  2.3748730000 2
-0.21000  2.3783270000 2
-0.20000  2.3817810000 2
-0.19000  2.3852340000 2
-0.18000  2.3886850000 2
-0.17000  2.3921350000 2
-0.16000  2.3955830000 2
-0.15000  2.3990280000 2
-0.14000  2.4024690000 2
-0.13000  2.4059070000 2
-0.12000  2.4093400000 2
-0.11000  2.4127680000 2
-0.10000  2.4161900000 2
-0.09000  2.4196070000 2
-0.08000  2.4230170000 2
-0.07000  2.4264200000 2
-0.06000  2.4298160000 2
-0.05000  2.4332030000 2
-0.04000  2.4365820000 2
-0.03000  2.4399520000 2
-0.02000  2.4433110000 2
-0.01000  2.4466610000 2
 0.00000  2.4500000000 2
 0.01000  2.4533280000 2
 0.02000  2.4566430000 2
 0.03000  2.4599470000 2
 0.04000  2.4632370000 2
 0.05000  2.4665140000 2
 0.06000  2.4697770000 2
 0.07000  2.4730250000 2
 0.08000  2.4762590000 2
 0.09000  2.4794760000 2
 0.10000  2.4826770000 2
 0.11000  2.4858620000 2
 0.12000  2.4890290000 2
 0.13000  2.4921780000 2
 0.14000  2.4953080000 2
 0.15000  2.4984200000 2
 0.16000  2.5015110000 2
 0.17000  2.5045830000 2
 0.18000  2.5076330000 2
 0.19000  2.5106620000 2
 0.20000  2.5136690000 2
 0.21000  2.5166530000 2
 0.22000  2.5196140000 2
 0.23000  2.5225510000 2
 0.24000  2.5254630000 2
 0.25000  2.5283500000 2
 0.26000  2.5312110000 2
 0.27000  2.5340460000 2
 0.28000  2.5368530000 2
 0.29000  2.5396320000 2
 0.30000  2.5423830000 2

-0.30000  2.4267340000 3
-0.29000  2.4296040000 3
-0.28000  2.4324280000 3
-0.27000  2.4352020000 3
-0.26000  2.4379200000 3
-0.25000  2.4405750000 3
-0.24000  2.4431610000 3
-0.23000  2.4456700000 3
-0.22000  2.4480940000 3
-0.21000  2.4504220000 3
-0.20000  2.4526450000 3
-0.19000  2.4547510000 3
-0.18000  2.4567260000 3
-0.17000  2.4585550000 3
-0.16000  2.4602240000 3
-0.15000  2.4617140000 3
-0.14000  2.4630080000 3
-0.13000  2.4640830000 3
-0.12000  2.4649200000 3
-0.11000  2.4654970000 3
-0.10000  2.4657910000 3
-0.09000  2.4657820000 3
-0.08000  2.4654510000 3
-0.07000  2.4647790000 3
-0.06000  2.4637540000 3
-0.05000  2.4623660000 3
-0.04000  2.4606100000 3
-0.03000  2.4584880000 3
-0.02000  2.4560050000 3
-0.01000  2.4531710000 3
 0.00000  2.4500000000 3
 0.01000  2.4465100000 3
 0.02000  2.4427200000 3
 0.03000  2.4386500000 3
 0.04000  2.4343210000 3
 0.05000  2.4297540000 3
 0.06000  2.4249690000 3
 0.07000  2.4199840000 3
 0.08000  2.4148160000 3
 0.09000  2.4094830000 3
 0.10000  2.4039990000 3
 0.11000  2.3983780000 3
 0.12000  2.3926320000 3
 0.13000  2.3867730000 3
 0.14000  2.3808100000 3
 0.15000  2.3747540000 3
 0.16000  2.3686120000 3
 0.17000  2.3623930000 3
 0.18000  2.3561040000 3
 0.19000  2.3497520000 3
 0.20000  2.3433420000 3
 0.21000  2.3368810000 3
 0.22000  2.3303740000 3
 0.23000  2.3238260000 3
 0.24000  2.3172420000 3
 0.25000  2.3106270000 3
 0.26000  2.3039860000 3
 0.27000  2.2973230000 3
 0.28000  2.2906420000 3
 0.29000  2.2839490000 3
 0.30000  2.2772470000 3

-0.30000  2.7020320000 4
-0.29000  2.6972040000 4
-0.28000  2.6923780000 4
-0.27000  2.6875570000 4
-0.26000  2.6827480000 4
-0.25000  2.6779570000 4
-0.24000  2.6731890000 4
-0.23000  2.6684530000 4
-0.22000  2.6637570000 4
-0.21000  2.6591100000 4
-0.20000  2.6545230000 4
-0.19000  2.6500070000 4
-0.18000  2.6455750000 4
-0.17000  2.6412410000 4
-0.16000  2.6370220000 4
-0.15000  2.6329340000 4
-0.14000  2.6289970000 4
-0.13000  2.6252300000 4
-0.12000  2.6216540000 4
-0.11000  2.6182910000 4
-0.10000  2.6151630000 4
-0.09000  2.6122910000 4
-0.08000  2.6096940000 4
-0.07000  2.6073890000 4
-0.06000  2.6053910000 4
-0.05000  2.6037070000 4
-0.04000  2.6023430000 4
-0.03000  2.6012990000 4
-0.02000  2.6005670000 4
-0.01000  2.6001390000 4
 0.00000  2.6000000000 4
 0.01000  2.6001330000 4
 0.02000  2.6005190000 4
 0.03000  2.6011370000 4
 0.04000  2.6019680000 4
 0.05000  2.6029900000 4
 0.06000  2.6041840000 4
 0.07000  2.6055310000 4
 0.08000  2.6070150000 4
 0.09000  2.6086190000 4
 0.10000  2.6103290000 4
 0.11000  2.6121310000 4
 0.12000  2.6140130000 4
 0.13000  2.6159650000 4
 0.14000  2.6179760000 4
 0.15000  2.6200390000 4
 0.16000  2.6221440000 4
 0.17000  2.6242860000 4
 0.18000  2.6264560000 4
 0.19000  2.6286510000 4
 0.20000  2.6308630000 4
 0.21000  2.6330890000 4
 0.22000  2.6353230000 4
 0.23000  2.6375630000 4
 0.24000  2.6398030000 4
 0.25000  2.6420410000 4
 0.26000  2.6442730000 4
 0.27000  2.6464960000 4
 0.28000  2.6487070000 4
 0.29000  2.6509040000 4
 0.30000  2.6530840000 4

-0.30000  3.1962760000 5
-0.29000  3.2030620000 5
-0.28000  3.2098570000 5
-0.27000  3.2166600000 5
-0.26000  3.2234700000 5
-0.25000  3.2302850000 5
-0.24000  3.2371060000 5
-0.23000  3.2439310000 5
-0.22000  3.2507590000 5
-0.21000  3.2575890000 5
-0.20000  3.2644210000 5
-0.19000  3.2712540000 5
-0.18000  3.2780860000 5
-0.17000  3.2849170000 5
-0.16000  3.2917460000 5
-0.15000  3.2985710000 5
-0.14000  3.3053930000 5
-0.13000  3.3122100000 5
-0.12000  3.3190220000 5
-0.11000  3.3258270000 5
-0.10000  3.3326240000 5
-0.09000  3.3394140000 5
-0.08000  3.3461940000 5
-0.07000  3.3529640000 5
-0.06000  3.3597230000 5
-0.05000  3.3664710000 5
-0.04000  3.3732060000 5
-0.03000  3.3799270000 5
-0.02000  3.3866340000 5
-0.01000  3.3933250000 5
 0.00000  3.4000000000 5
 0.01000  3.4066580000 5
 0.02000  3.4132980000 5
 0.03000  3.4199190000 5
 0.04000  3.4265190000 5
 0.05000  3.4331000000 5
 0.06000  3.4396580000 5
